"Commodity","Country","UOM","Category","SubCategory","YearNum","FoodValue"
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2015,3635.595122
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2015,1830.309985
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2016,4705.830776
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2016,7541.727041
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2016,4864.226376
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2016,1172.16332
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2016,1295.594309
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2016,5583.349543
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2016,3717.371858
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2016,935.0788088
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2016,1053.307311
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2016,1068.534244
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2016,3720.017572
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2016,1801.156784
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2017,4803.11722
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2017,8134.182623
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2017,4979.291553
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2017,1144.64066
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2017,1351.72925
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2017,6057.085169
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2017,3983.261576
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2017,925.202291
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2017,1128.196317
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2017,1146.900832
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2017,3447.478847
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2017,1824.441209
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2018,5079.782561
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2018,8192.584964
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2018,5523.901099
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2018,1150.494607
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2018,1395.163985
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2018,6311.845432
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2018,3779.819385
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2018,1003.462962
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2018,1114.07431
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2018,1123.550262
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2018,3432.619464
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2018,1886.580675
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2019,5385.073796
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2019,8229.529239
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2019,5539.302447
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2019,1187.889574
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2019,1464.293165
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2019,5945.536216
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2019,3552.974409
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2019,1110.079899
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2019,1025.944891
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2019,1092.019944
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2019,3570.485688
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2019,1889.093116
