"Commodity","Country","UOM","Category","SubCategory","YearNum","FoodValue"
"Prepared fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",2001,415.3
"Total vegetables and preparations","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2001,5120.8
"Fresh vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2001,3152.3
"Frozen vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2001,358.2
"Dried vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2001,263.7
"Prepared or preserved vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2001,1351.3
"Total dairy products","WORLD (Quantity)","1,000 mt","Dairy","Foods",2001,323.5
"Cheese, fresh or processed","WORLD (Quantity)","1,000 mt","Dairy","Foods",2001,201.8
"Yogurt, buttermilk, or whey","WORLD (Quantity)","1,000 mt","Dairy","Foods",2001,51.5
"Milk and cream","WORLD (Quantity)","1,000 mt","Dairy","Foods",2001,20.3
"Butter or spreads","WORLD (Quantity)","1,000 mt","Dairy","Foods",2001,49.9
"Total fruit and preparations","WORLD (Quantity)","1,000 mt","Fruits","Foods",2001,7492.6
"Fresh or chilled fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2001,6589.1
"Bananas and plantains","WORLD (Quantity)","1,000 mt","Fruits","Foods",2001,4059.9
"Frozen fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2001,106.2
"Dried, prepared or preserved fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2001,796.5
"Fruit juices","WORLD (Quantity)","1,000 mt","Fruits","Foods",2001,0.7
"Total nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2001,315.9
"Tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2001,199.0
"Cashew nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2001,84.8
"Prepared tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2001,25.5
"Ground nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2001,91.5
"Total coffee, tea, and spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",2001,1599.8
"Coffee beans, unroasted","WORLD (Quantity)","1,000 mt","Coffee","Foods",2001,1159.0
"Coffee, roasted and instant","WORLD (Quantity)","1,000 mt","Coffee","Foods",2001,38.2
"Coffee extracts and preparations","WORLD (Quantity)","1,000 mt","Coffee","Foods",2001,34.1
"Tea and mate","WORLD (Quantity)","1,000 mt","Coffee","Foods",2001,164.7
"Spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",2001,203.9
"Total grains and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2001,7330.8
"Bulk grains","WORLD (Quantity)","1,000 mt","Grains","Foods",2001,5406.3
"Wheat and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2001,2439.4
"Rice and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2001,416.1
"Milled grain products","WORLD (Quantity)","1,000 mt","Grains","Foods",2001,766.0
"Cereal and bakery foods","WORLD (Quantity)","1,000 mt","Grains","Foods",2001,1158.4
"Total vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2001,1589.8
"Crude vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2001,413.0
"Refined vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2001,1041.5
"Olive oil","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2001,205.4
"Tropical oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2001,801.7
"Oilseeds","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2001,892.9
"Total sweeteners and candy","WORLD (Quantity)","1,000 mt","Sweets","Foods",2001,2035.3
"Sugar, cane and beet","WORLD (Quantity)","1,000 mt","Sweets","Foods",2001,1353.1
"Other sweeteners and syrups","WORLD (Quantity)","1,000 mt","Sweets","Foods",2001,320.8
"Confections","WORLD (Quantity)","1,000 mt","Sweets","Foods",2001,361.3
"Total cocoa and products","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2001,990.9
"Cocoa beans","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2001,434.1
"Cocoa paste, butter, and powder","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2001,221.2
"Chocolate","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2001,333.6
"Sauces, soups, prepared foods","WORLD (Quantity)","1,000 mt","Other","Foods",2001,702.0
"Essential oils","WORLD (Quantity)","1,000 mt","Other","Foods",2001,40.8
"Animal and other fats","WORLD (Quantity)","1,000 mt","Other","Foods",2001,201.4
"Other edible products","WORLD (Quantity)","1,000 mt","Other","Foods",2001,268.2
"Total beverages","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2001,4162.3
"Wine","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2001,527.1
"Malt beer","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2001,2537.3
"Nonalcoholic beverages","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2001,1097.8
"Liquors and liqueurs","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2001,410915.9
"Live meat animals","WORLD (Quantity)","1,000","Food volume","Foods",2001,7758.1
